province,year,area,food_spend,nonfood_spend,total_spend,engel_ratio,internet_pct,mobile_pct,computer_pct,digital_index_pct,calorie_per_capita,protein_per_capita,poverty_rate,gini,vulnerability_score,_inferred_from_2023
DI YOGYAKARTA,2024,total,748182.0,1010683.0,1758865.0,0.425377729387986,89.5,90.93,31.55,70.66000000000001,2015.51,62.32,,,0.09267214039329737,
DI YOGYAKARTA,2024,urban,,,,,91.71,92.6,37.6,73.97,,,,,,
DKI JAKARTA,2024,rural,,,,,,,9.1,9.1,,,,,,1
DKI JAKARTA,2024,total,1055896.0,1735820.0,2791716.0,0.37822471913332156,98.08,96.19,39.15,77.80666666666666,2157.83,70.65,,,0.004162028747035825,1
DKI JAKARTA,2024,urban,,,,,98.08,96.19,39.15,77.80666666666666,,,,,,1
DKI JAKARTA,2024,rural,,,,,,,,,,,,,,
DKI JAKARTA,2024,total,1108228.0,1686257.0,2794485.0,0.39657682900427094,98.18,98.49,39.33,78.66666666666667,2073.28,68.15,,,0.020987141088858196,
DKI JAKARTA,2024,urban,,,,,98.18,98.49,39.33,78.66666666666667,,,,,,
GORONTALO,2024,rural,,,,,83.6,90.94,9.88,61.47333333333333,,,,,,1
GORONTALO,2024,total,590966.0,637927.0,1228893.0,0.48089296627127015,87.93,92.74,17.89,66.18666666666667,1996.25,58.46,,,0.20333363613053054,1
GORONTALO,2024,urban,,,,,93.01,96.38,27.29,72.22666666666666,,,,,,1
GORONTALO,2024,rural,,,,,86.61,92.19,9.21,62.67000000000001,,,,,,
GORONTALO,2024,total,620823.0,641446.0,1262268.0,0.4918313702003061,90.17,94.98,17.23,67.46,1938.17,58.12,,,0.21531588395552045,
GORONTALO,2024,urban,,,,,94.25,98.18,26.43,72.95333333333333,,,,,,
INDONESIA,2024,rural,,,,,81.6,85.45,8.68,58.576666666666675,,,,,,1
INDONESIA,2024,total,711282.0,740588.0,1451870.0,0.489907498605247,87.09,89.02,18.06,64.72333333333334,2087.64,62.33,,,0.19519812180578033,1
INDONESIA,2024,urban,,,,,91.01,93.95,24.76,69.90666666666667,,,,,,1
INDONESIA,2024,rural,,,,,84.61,89.8,8.98,61.129999999999995,,,,,,
INDONESIA,2024,total,751789.0,748767.0,1500556.0,0.5010069600867945,89.76,92.92,18.52,67.06666666666668,2051.54,61.7,,,0.19655054356503643,
INDONESIA,2024,urban,,,,,93.38,95.11,25.23,71.24,,,,,,
JAMBI,2024,rural,,,,,88.25,92.3,12.36,64.30333333333334,,,,,,1
JAMBI,2024,total,720949.0,703176.0,1424125.0,0.5062399719125779,89.52,93.42,17.75,66.89666666666666,2042.69,59.52,,,0.21131388857849917,1
JAMBI,2024,urban,,,,,91.99,96.29,28.26,72.17999999999999,,,,,,1
JAMBI,2024,rural,,,,,89.41,94.98,11.41,65.26666666666667,,,,,,
JAMBI,2024,total,773667.0,698833.0,1472501.0,0.5254101695007338,90.59,95.61,17.6,67.93333333333332,2011.88,58.73,,,0.24131420695629205,
JAMBI,2024,urban,,,,,93.01,96.91,30.31,73.41000000000001,,,,,,
JAWA BARAT,2024,rural,,,,,79.48,80.55,6.49,55.50666666666667,,,,,,1
JAWA BARAT,2024,total,761832.0,805834.0,1567666.0,0.48596576056379354,87.92,87.56,18.85,64.77666666666667,2110.33,63.44,,,0.19043231112829814,1
JAWA BARAT,2024,urban,,,,,90.29,91.26,22.32,67.95666666666666,,,,,,1
JAWA BARAT,2024,rural,,,,,82.2,86.52,6.11,58.27666666666667,,,,,,
JAWA BARAT,2024,total,803842.0,829190.0,1633032.0,0.492238976333593,90.58,92.4,18.6,67.19333333333334,2069.91,62.26,,,0.18591062386176638,
JAWA BARAT,2024,urban,,,,,92.83,93.98,21.95,69.58666666666666,,,,,,
JAWA TENGAH,2024,rural,,,,,83.5,84.3,8.41,58.73666666666667,,,,,,1
JAWA TENGAH,2024,total,601528.0,608378.0,1209906.0,0.4971692015743372,85.61,87.44,14.05,62.366666666666674,2024.95,59.65,,,0.22070914885962475,1
JAWA TENGAH,2024,urban,,,,,87.5,90.23,19.1,65.61,,,,,,1
JAWA TENGAH,2024,rural,,,,,86.44,88.77,8.88,61.36333333333332,,,,,,
JAWA TENGAH,2024,total,647311.0,624368.0,1271678.0,0.5090211515808247,88.89,90.56,14.82,64.75666666666666,1993.03,59.23,,,0.2296579669635085,
JAWA TENGAH,2024,urban,,,,,91.12,92.18,20.23,67.84333333333333,,,,,,
JAWA TIMUR,2024,rural,,,,,79.73,82.53,8.4,56.88666666666666,,,,,,1
JAWA TIMUR,2024,total,657408.0,666078.0,1323486.0,0.4967245592322095,84.28,86.58,16.05,62.30333333333334,2068.37,60.66,,,0.21470574441504986,1
JAWA TIMUR,2024,urban,,,,,87.87,90.19,22.1,66.72,,,,,,1
JAWA TIMUR,2024,rural,,,,,82.22,86.8,8.75,59.25666666666666,,,,,,
JAWA TIMUR,2024,total,689148.0,667796.0,1356943.0,0.507868053411234,86.9,90.32,16.7,64.64,2046.2,60.48,,,0.21614078495987807,
JAWA TIMUR,2024,urban,,,,,90.64,93.12,23.04,68.93333333333332,,,,,,
KALIMANTAN BARAT,2024,rural,,,,,85.71,87.84,8.38,60.64333333333334,,,,,,1
KALIMANTAN BARAT,2024,total,695043.0,650509.0,1345552.0,0.5165485986420443,88.45,90.07,15.11,64.54333333333334,1919.5,58.63,,,0.24924396143050997,1
KALIMANTAN BARAT,2024,urban,,,,,92.99,95.84,26.23,71.68666666666665,,,,,,1
KALIMANTAN BARAT,2024,rural,,,,,90.31,93.46,9.02,64.26333333333334,,,,,,
KALIMANTAN BARAT,2024,total,735785.0,652292.0,1388077.0,0.5300750606774696,92.65,95.14,16.51,68.10000000000001,1903.38,58.52,,,0.24932315275407113,
KALIMANTAN BARAT,2024,urban,,,,,96.47,97.87,28.73,74.35666666666667,,,,,,
KALIMANTAN SELATAN,2024,rural,,,,,85.15,88.05,11.57,61.589999999999996,,,,,,1
KALIMANTAN SELATAN,2024,total,747955.0,709390.0,1457344.0,0.5132316048921874,88.45,90.53,19.12,66.03333333333335,2167.47,67.36,,,0.21553131362812836,1
KALIMANTAN SELATAN,2024,urban,,,,,91.78,94.22,26.75,70.91666666666667,,,,,,1
KALIMANTAN SELATAN,2024,rural,,,,,86.44,90.33,10.68,62.48333333333333,,,,,,
KALIMANTAN SELATAN,2024,total,799948.0,734092.0,1534039.0,0.521465230023487,89.22,92.76,18.51,66.83,2198.3,69.2,,,0.2210916157312043,
KALIMANTAN SELATAN,2024,urban,,,,,92.04,95.22,26.43,71.23,,,,,,
KALIMANTAN TENGAH,2024,rural,,,,,84.5,89.66,10.51,61.556666666666665,,,,,,1
KALIMANTAN TENGAH,2024,total,787550.0,738235.0,1525785.0,0.5161605337580327,88.27,91.7,19.12,66.36333333333333,2133.87,64.01,,,0.2172837261890431,1
KALIMANTAN TENGAH,2024,urban,,,,,93.14,95.98,30.25,73.12333333333333,,,,,,1
KALIMANTAN TENGAH,2024,rural,,,,,88.79,94.05,10.81,64.55,,,,,,
KALIMANTAN TENGAH,2024,total,835243.0,755448.0,1590691.0,0.5250818669370733,92.13,95.97,19.43,69.17666666666666,2050.6,61.84,,,0.21387068269064466,
KALIMANTAN TENGAH,2024,urban,,,,,96.46,98.46,30.6,75.17333333333333,,,,,,
KALIMANTAN TIMUR,2024,rural,,,,,88.75,95.53,17.14,67.14,,,,,,1
KALIMANTAN TIMUR,2024,total,885069.0,1095206.0,1980275.0,0.4469424701114744,92.98,96.94,29.59,73.17,2008.81,65.72,,,0.10518587158953689,1
KALIMANTAN TIMUR,2024,urban,,,,,94.87,97.89,35.13,75.96333333333332,,,,,,1
KALIMANTAN TIMUR,2024,rural,,,,,92.74,97.32,17.73,69.26333333333334,,,,,,
KALIMANTAN TIMUR,2024,total,925954.0,1116838.0,2042791.0,0.4532788718963418,95.45,98.44,30.52,74.80333333333333,1950.46,64.3,,,0.10452743788415775,
KALIMANTAN TIMUR,2024,urban,,,,,96.69,98.94,36.31,77.31333333333333,,,,,,
KALIMANTAN UTARA,2024,rural,,,,,89.09,94.61,16.67,66.79,,,,,,1
KALIMANTAN UTARA,2024,total,801219.0,892358.0,1693577.0,0.4730927498424931,93.76,96.86,27.22,72.61333333333333,1891.28,62.11,,,0.13778488511877043,1
KALIMANTAN UTARA,2024,urban,,,,,96.35,98.94,33.09,76.12666666666667,,,,,,1
KALIMANTAN UTARA,2024,rural,,,,,89.44,95.82,16.71,67.32333333333334,,,,,,
KALIMANTAN UTARA,2024,total,833209.0,824833.0,1658042.0,0.5025258708766123,94.58,97.94,25.05,72.52333333333333,1869.58,61.69,,,0.17187963140522258,
KALIMANTAN UTARA,2024,urban,,,,,97.38,99.09,29.59,75.35333333333334,,,,,,
KEP BANGKA BELITUNG,2024,rural,,,,,90.67,92.73,13.83,65.74333333333334,,,,,,1
KEP BANGKA BELITUNG,2024,total,,,,,91.16,94.39,19.64,68.39666666666666,,,,,0.14910709964671154,1
KEP BANGKA BELITUNG,2024,urban,,,,,91.49,96.0,23.55,70.34666666666668,,,,,,1
KEP BANGKA BELITUNG,2024,rural,,,,,90.77,95.65,11.72,66.04666666666667,,,,,,
KEP BANGKA BELITUNG,2024,total,,,,,92.14,96.27,19.29,69.23333333333333,,,,,0.1369597831873396,
KEP BANGKA BELITUNG,2024,urban,,,,,93.09,96.7,24.55,71.44666666666667,,,,,,
KEP RIAU,2024,rural,,,,,88.06,93.28,9.1,63.48,,,,,,1
KEP RIAU,2024,total,,,,,95.98,96.71,31.46,74.71666666666667,,,,,0.05734888447950426,1
