province,year,area,poverty_rate,_inferred_from_2023
BENGKULU,2021,urban,14.73,
BENGKULU,2021,rural,14.28,
BENGKULU,2021,total,14.43,
LAMPUNG,2021,urban,8.5,
LAMPUNG,2021,rural,13.18,
LAMPUNG,2021,total,11.67,
KEP. BANGKA BELITUNG,2021,urban,3.22,
KEP. BANGKA BELITUNG,2021,rural,6.57,
KEP. BANGKA BELITUNG,2021,total,4.67,
KEP. RIAU,2021,urban,5.37,
KEP. RIAU,2021,rural,10.45,
KEP. RIAU,2021,total,5.75,
DKI JAKARTA,2021,urban,4.67,
DKI JAKARTA,2021,rural,,
DKI JAKARTA,2021,total,4.67,
JAWA BARAT,2021,urban,7.48,
JAWA BARAT,2021,rural,9.76,
JAWA BARAT,2021,total,7.97,
JAWA TENGAH,2021,urban,10.16,
JAWA TENGAH,2021,rural,12.44,
JAWA TENGAH,2021,total,11.25,
DI YOGYAKARTA,2021,urban,11.2,
DI YOGYAKARTA,2021,rural,13.99,
DI YOGYAKARTA,2021,total,11.91,
JAWA TIMUR,2021,urban,7.99,
JAWA TIMUR,2021,rural,13.79,
JAWA TIMUR,2021,total,10.59,
BANTEN,2021,urban,6.04,
BANTEN,2021,rural,7.72,
BANTEN,2021,total,6.5,
BALI,2021,urban,4.33,
BALI,2021,rural,5.68,
BALI,2021,total,4.72,
NUSA TENGGARA BARAT,2021,urban,14.54,
NUSA TENGGARA BARAT,2021,rural,13.12,
NUSA TENGGARA BARAT,2021,total,13.83,
NUSA TENGGARA TIMUR,2021,urban,8.57,
NUSA TENGGARA TIMUR,2021,rural,24.42,
NUSA TENGGARA TIMUR,2021,total,20.44,
KALIMANTAN BARAT,2021,urban,4.72,
KALIMANTAN BARAT,2021,rural,8.05,
KALIMANTAN BARAT,2021,total,6.84,
KALIMANTAN TENGAH,2021,urban,5.08,
KALIMANTAN TENGAH,2021,rural,5.23,
KALIMANTAN TENGAH,2021,total,5.16,
KALIMANTAN SELATAN,2021,urban,3.81,
KALIMANTAN SELATAN,2021,rural,5.28,
KALIMANTAN SELATAN,2021,total,4.56,
KALIMANTAN TIMUR,2021,urban,4.74,
KALIMANTAN TIMUR,2021,rural,9.63,
KALIMANTAN TIMUR,2021,total,6.27,
KALIMANTAN UTARA,2021,urban,5.32,
KALIMANTAN UTARA,2021,rural,9.31,
KALIMANTAN UTARA,2021,total,6.83,
SULAWESI UTARA,2021,urban,5.09,
