province,rokok,sayur,ikan,telur_susu,daging,buah,gizi_total,rokok_pct_of_gizi,rokok_vs_sayur_ratio,poverty_rate,protein_per_capita,calorie_per_capita,rokok_pct_of_sayur,rokok_pct_of_daging,smoking_daily_pct,smoking_sometimes_pct,ex_smoker_pct,non_smoker_pct,n_sample,severely_stunting_pct,stunting_pct,normal_pct,has_expenditure_data,population_thousands,province_code,geo_feature_id,latitude,longitude,geometry_status,region
Kalimantan Barat,93153.0,56215.0,83256.0,37951.0,47929.0,34145.0,259496.0,35.89766316243796,1.6570844080761362,6.25,58.52,1903.38,165.7084408076136,194.3562352646623,19.6,4.3,1.6,74.6,14173,7.2,17.3,75.5,True,5554.0,61,61,-0.2143480000000001,111.10055599999998,matched,Kalimantan
Kalimantan Tengah,116164.0,66600.0,91586.0,43446.0,51701.0,41408.0,294741.0,39.412229720330735,1.7442042042042043,5.26,61.84,2050.6,174.42042042042044,224.68424208429235,19.1,4.3,1.5,75.1,7033,7.6,15.9,76.5,True,2756.0,62,62,-1.5577259259259262,113.27516790123458,matched,Kalimantan
Kalimantan Selatan,81243.0,46718.0,79180.0,42910.0,32911.0,42352.0,244071.0,33.28662561303883,1.7390085192003082,4.02,69.2,2198.3,173.90085192003082,246.85667406034457,16.5,3.9,1.7,77.8,10566,7.8,16.9,75.3,True,4141.0,63,63,-2.866822499999999,115.61806500000004,matched,Kalimantan
Kalimantan Timur,99162.0,67107.0,96114.0,49330.0,50804.0,55348.0,318703.0,31.11423488326121,1.477669989717913,5.51,64.3,1950.46,147.7669989717913,195.18541847098655,18.3,3.8,3.5,74.4,9985,5.7,17.1,77.1,True,3913.0,64,64,0.3900931034482761,116.17348620689656,matched,Kalimantan
Kalimantan Utara,97732.0,67920.0,104248.0,51307.0,51181.0,38744.0,313400.0,31.18442884492661,1.4389281507656069,5.38,61.69,1869.58,143.89281507656065,190.95367421504073,16.5,4.0,1.4,78.2,1851,4.6,12.8,82.6,True,725.0,65,65,2.8587419354838697,116.2725,matched,Kalimantan
Sulawesi Utara,90091.0,57693.0,80359.0,35446.0,27133.0,47831.0,248462.0,36.2594682486658,1.5615585946301975,6.7,63.62,2011.68,156.15585946301977,332.03479158220614,19.0,5.5,3.2,72.3,6921,6.5,14.8,78.7,True,2712.0,71,71,1.867915789473684,124.81762105263157,matched,Sulawesi
Sulawesi Tengah,96331.0,49269.0,67557.0,27608.0,18499.0,39985.0,202918.0,47.4728708148119,1.9552050985406648,11.04,60.58,2032.8,195.52050985406646,520.7362560138387,23.1,4.8,2.7,69.4,7723,7.6,19.6,72.8,True,3026.0,72,72,-0.9368041666666664,121.55913250000005,matched,Sulawesi
Sulawesi Selatan,82051.0,40379.0,75242.0,31314.0,20362.0,44077.0,211374.0,38.81792462649143,2.032021595383739,7.77,63.63,2063.99,203.2021595383739,402.96139868382284,20.6,3.0,3.6,72.8,23925,6.7,20.7,72.6,True,9376.0,73,73,-3.6987372881355927,120.28421694915257,matched,Sulawesi
Sulawesi Tenggara,77331.0,40294.0,76839.0,28865.0,12257.0,43095.0,201350.0,38.4062577601192,1.9191691070630863,10.63,60.98,1955.09,191.91691070630864,630.9129477033532,17.5,3.9,2.0,76.7,6791,9.4,20.6,70.0,True,2661.0,74,74,-4.385263513513514,122.32968918918924,matched,Sulawesi
Gorontalo,85726.0,47917.0,72478.0,26648.0,14554.0,33568.0,195165.0,43.92488407245151,1.7890519022476363,13.87,58.12,1938.17,178.90519022476366,589.0202006321286,22.3,5.7,1.6,70.3,3085,8.4,18.4,73.1,True,1209.0,75,75,0.693173076923077,122.35500384615388,matched,Sulawesi
Sulawesi Barat,88088.0,38302.0,66432.0,21606.0,11769.0,37037.0,175146.0,50.29404040058009,2.299827685238369,10.71,60.03,2068.7,229.98276852383688,748.474806695556,20.1,3.3,1.6,75.0,3653,7.6,22.8,69.7,True,1432.0,76,76,-2.2985657142857145,119.35915142857144,matched,Sulawesi
Maluku,78146.0,60978.0,72968.0,30253.0,15278.0,46383.0,225860.0,34.59930930665014,1.281544163468792,15.78,52.2,1791.94,128.1544163468792,511.49365100143996,18.6,5.9,2.0,73.5,4831,10.1,18.3,71.6,True,1893.0,81,81,-5.246744537815126,130.02536806722688,matched,Maluku
Maluku Utara,115857.0,69416.0,83104.0,24399.0,12671.0,55076.0,244666.0,47.35312630279647,1.669024432407514,6.03,52.05,1800.54,166.9024432407514,914.3477231473444,19.0,6.0,1.2,73.8,3325,7.6,16.0,76.3,True,1303.0,82,82,0.0327776699029124,127.34883883495144,matched,Maluku
Papua Barat,127427.0,84494.0,92347.0,41194.0,46766.0,46206.0,311007.0,40.97238968897806,1.508118919686605,21.09,51.78,1769.8,150.8118919686605,272.4778685369713,15.6,6.7,1.0,76.7,1418,8.0,16.8,75.2,True,556.0,92,92,-2.728401470588236,133.62570147058824,matched,Papua
Papua,95626.0,76542.0,108605.0,39583.0,40886.0,34146.0,299762.0,31.900641175332428,1.2493271667842492,18.09,54.73,1782.9,124.93271667842491,233.88445922809763,16.3,6.4,2.3,75.0,2446,10.4,18.2,71.4,True,959.0,91,91,-2.270314285714285,137.57228714285714,matched,Papua
Papua Barat Daya,,,,,,,,,,,,,,,18.2,6.1,1.1,74.6,1551,10.7,20.3,69.0,False,608.0,96,96,-1.1112152542372882,131.51446440677967,matched,Papua
Papua Pegunungan,,,,,,,,,,,,,,,10.0,5.5,0.7,83.7,3803,20.2,17.1,62.7,False,1490.0,95,95,-4.154951282051282,139.11516923076923,matched,Papua
Papua Selatan,,,,,,,,,,,,,,,24.9,5.0,1.5,68.6,1163,9.3,15.8,75.0,False,456.0,93,93,-6.875517948717952,138.9577871794873,matched,Papua
Papua Tengah,,,,,,,,,,,,,,,10.3,6.9,1.3,81.5,3708,20.7,18.6,60.6,False,1453.0,94,94,-3.809223529411766,136.4202568627451,matched,Papua
