city,group,sub_group,year,value
KOTA BANJARMASIN,2020,"Makanan, Minuman dan Tembakau",2020,0.12
KOTA BALIKPAPAN,2020,"Makanan, Minuman dan Tembakau",2020,0.3158333333333333
KOTA SAMARINDA,2020,"Makanan, Minuman dan Tembakau",2020,0.1741666666666666
TANJUNG SELOR,2020,"Makanan, Minuman dan Tembakau",2020,0.2641666666666665
KOTA TARAKAN,2020,"Makanan, Minuman dan Tembakau",2020,0.0875
KOTA MANADO,2020,"Makanan, Minuman dan Tembakau",2020,-0.0291666666666666
KOTA KOTAMOBAGU,2020,"Makanan, Minuman dan Tembakau",2020,0.5083333333333334
LUWUK,2020,"Makanan, Minuman dan Tembakau",2020,0.1566666666666666
KOTA PALU,2020,"Makanan, Minuman dan Tembakau",2020,0.3958333333333333
BULUKUMBA,2020,"Makanan, Minuman dan Tembakau",2020,0.1308333333333333
WATAMPONE,2020,"Makanan, Minuman dan Tembakau",2020,0.2108333333333333
KOTA MAKASSAR,2020,"Makanan, Minuman dan Tembakau",2020,0.3075
KOTA PARE-PARE,2020,"Makanan, Minuman dan Tembakau",2020,0.2458333333333333
KOTA PALOPO,2020,"Makanan, Minuman dan Tembakau",2020,0.2416666666666666
KOTA KENDARI,2020,"Makanan, Minuman dan Tembakau",2020,0.2366666666666667
KOTA BUA-BAU,2020,"Makanan, Minuman dan Tembakau",2020,0.3241666666666666
KOTA GORONTALO,2020,"Makanan, Minuman dan Tembakau",2020,0.0616666666666666
MAMUJU,2020,"Makanan, Minuman dan Tembakau",2020,0.3383333333333334
KOTA AMBON,2020,"Makanan, Minuman dan Tembakau",2020,0.155
KOTA TUAL,2020,"Makanan, Minuman dan Tembakau",2020,0.2891666666666666
KOTA TERNATE,2020,"Makanan, Minuman dan Tembakau",2020,0.6116666666666667
MANOKWARI,2020,"Makanan, Minuman dan Tembakau",2020,-0.0991666666666666
KOTA SORONG,2020,"Makanan, Minuman dan Tembakau",2020,0.4391666666666667
MERAUKE,2020,"Makanan, Minuman dan Tembakau",2020,0.2616666666666665
TIMIKA,2020,"Makanan, Minuman dan Tembakau",2020,0.798333333333333
KOTA JAYAPURA,2020,"Makanan, Minuman dan Tembakau",2020,0.0908333333333332
INDONESIA,2020,"Makanan, Minuman dan Tembakau",2020,0.2991666666666666
KOTA MEULABOH,2020,Makanan,2020,0.7558333333333334
KOTA BANDA ACEH,2020,Makanan,2020,0.5925
KOTA LHOKSEUMAWE,2020,Makanan,2020,0.7416666666666667
KOTA SIBOLGA,2020,Makanan,2020,0.4666666666666666
KOTA PEMATANG SIANTAR,2020,Makanan,2020,0.5591666666666667
