province,year,area,internet_pct,mobile_pct,computer_pct,digital_index_pct
KALIMANTAN TIMUR,2024,rural,92.74,97.32,17.73,69.26333333333334
KALIMANTAN TIMUR,2024,total,95.45,98.44,30.52,74.80333333333333
KALIMANTAN TIMUR,2024,urban,96.69,98.94,36.31,77.31333333333333
KALIMANTAN UTARA,2023,rural,89.09,94.61,16.67,66.79
KALIMANTAN UTARA,2023,total,93.76,96.86,27.22,72.61333333333333
KALIMANTAN UTARA,2023,urban,96.35,98.94,33.09,76.12666666666667
KALIMANTAN UTARA,2024,rural,89.44,95.82,16.71,67.32333333333334
KALIMANTAN UTARA,2024,total,94.58,97.94,25.05,72.52333333333333
KALIMANTAN UTARA,2024,urban,97.38,99.09,29.59,75.35333333333334
KEP BANGKA BELITUNG,2023,rural,90.67,92.73,13.83,65.74333333333334
KEP BANGKA BELITUNG,2023,total,91.16,94.39,19.64,68.39666666666666
KEP BANGKA BELITUNG,2023,urban,91.49,96.0,23.55,70.34666666666668
KEP BANGKA BELITUNG,2024,rural,90.77,95.65,11.72,66.04666666666667
KEP BANGKA BELITUNG,2024,total,92.14,96.27,19.29,69.23333333333333
KEP BANGKA BELITUNG,2024,urban,93.09,96.7,24.55,71.44666666666667
KEP RIAU,2023,rural,88.06,93.28,9.1,63.48
KEP RIAU,2023,total,95.98,96.71,31.46,74.71666666666667
KEP RIAU,2023,urban,96.99,97.98,34.29,76.42
KEP RIAU,2024,rural,87.65,95.3,10.01,64.32
KEP RIAU,2024,total,97.57,99.15,30.36,75.69333333333333
KEP RIAU,2024,urban,98.68,99.58,32.63,76.96333333333332
LAMPUNG,2023,rural,87.76,91.41,6.0,61.723333333333336
LAMPUNG,2023,total,88.88,92.41,10.63,63.97333333333333
LAMPUNG,2023,urban,91.13,95.32,19.96,68.80333333333333
LAMPUNG,2024,rural,90.45,94.85,6.55,63.95000000000001
LAMPUNG,2024,total,91.57,95.44,10.89,65.96666666666665
LAMPUNG,2024,urban,93.84,96.66,19.74,70.08
MALUKU,2023,rural,75.2,85.61,8.35,56.38666666666666
MALUKU,2023,total,82.56,89.17,17.58,63.10333333333333
MALUKU,2023,urban,92.8,96.25,30.42,73.15666666666668
MALUKU,2024,rural,80.4,91.15,9.06,60.20333333333334
MALUKU,2024,total,87.27,94.44,17.73,66.47999999999999
MALUKU,2024,urban,95.72,98.47,28.36,74.18333333333334
MALUKU UTARA,2023,rural,77.67,88.43,9.67,58.59
MALUKU UTARA,2023,total,81.88,90.59,15.92,62.79666666666666
MALUKU UTARA,2023,urban,91.69,97.58,30.48,73.24999999999999
MALUKU UTARA,2024,rural,83.39,93.09,9.23,61.903333333333336
MALUKU UTARA,2024,total,87.28,94.7,17.02,66.33333333333334
MALUKU UTARA,2024,urban,96.21,98.39,34.88,76.49333333333333
NUSA TENGGARA BARAT,2023,rural,79.31,87.62,7.07,58.0
NUSA TENGGARA BARAT,2023,total,81.79,89.37,11.09,60.75000000000001
NUSA TENGGARA BARAT,2023,urban,84.08,91.62,14.79,63.49666666666666
NUSA TENGGARA BARAT,2024,rural,83.74,90.15,7.9,60.596666666666664
NUSA TENGGARA BARAT,2024,total,86.54,92.02,11.73,63.43
NUSA TENGGARA BARAT,2024,urban,89.12,93.73,15.26,66.03666666666668
NUSA TENGGARA TIMUR,2023,rural,73.18,81.95,7.73,54.28666666666666
NUSA TENGGARA TIMUR,2023,total,78.88,84.48,13.65,59.00333333333334
NUSA TENGGARA TIMUR,2023,urban,93.53,96.9,28.84,73.09
NUSA TENGGARA TIMUR,2024,rural,77.81,88.85,8.08,58.24666666666667
NUSA TENGGARA TIMUR,2024,total,82.45,91.36,13.7,62.50333333333333
NUSA TENGGARA TIMUR,2024,urban,94.88,98.08,28.77,73.91
PAPUA,2023,rural,18.73,44.18,2.33,21.746666666666666
PAPUA,2023,total,38.71,53.46,9.79,33.98666666666667
PAPUA,2023,urban,87.31,92.11,27.93,69.11666666666667
PAPUA,2024,rural,63.9,80.09,7.84,50.61000000000001
PAPUA,2024,total,81.99,90.32,24.59,65.63333333333334
PAPUA,2024,urban,93.93,97.06,35.64,75.54333333333334
PAPUA BARAT,2023,rural,73.71,81.4,10.52,55.21000000000001
PAPUA BARAT,2023,total,82.05,84.9,18.7,61.883333333333326
PAPUA BARAT,2023,urban,94.01,97.87,30.41,74.09666666666666
PAPUA BARAT,2024,rural,80.47,89.8,11.53,60.599999999999994
PAPUA BARAT,2024,total,85.51,92.52,18.35,65.46
PAPUA BARAT,2024,urban,97.26,98.87,34.26,76.79666666666667
PAPUA BARAT DAYA,2023,rural,,,10.52,10.52
PAPUA BARAT DAYA,2023,total,,,18.7,18.7
PAPUA BARAT DAYA,2023,urban,,,30.41,30.41
PAPUA BARAT DAYA,2024,rural,79.71,88.92,10.68,59.77
PAPUA BARAT DAYA,2024,total,88.49,93.64,19.63,67.25333333333333
PAPUA BARAT DAYA,2024,urban,96.31,97.85,27.6,73.92
PAPUA PEGUNUNGAN,2023,rural,,,,
PAPUA PEGUNUNGAN,2023,total,,,,
PAPUA PEGUNUNGAN,2023,urban,,,,
PAPUA PEGUNUNGAN,2024,rural,8.81,28.65,1.13,12.863333333333335
PAPUA PEGUNUNGAN,2024,total,12.15,31.66,2.31,15.373333333333335
PAPUA PEGUNUNGAN,2024,urban,54.5,69.7,17.27,47.156666666666666
PAPUA SELATAN,2023,rural,,,2.33,2.33
PAPUA SELATAN,2023,total,,,9.79,9.79
PAPUA SELATAN,2023,urban,,,27.93,27.93
PAPUA SELATAN,2024,rural,51.7,62.57,6.34,40.20333333333334
PAPUA SELATAN,2024,total,65.71,73.69,17.0,52.133333333333326
PAPUA SELATAN,2024,urban,90.76,93.58,36.04,73.46
PAPUA TENGAH,2023,rural,,,,
PAPUA TENGAH,2023,total,,,,
PAPUA TENGAH,2023,urban,,,,
PAPUA TENGAH,2024,rural,19.14,33.58,1.49,18.07
PAPUA TENGAH,2024,total,36.08,48.19,7.88,30.716666666666665
PAPUA TENGAH,2024,urban,95.0,99.0,30.12,74.70666666666666
RIAU,2023,rural,91.5,94.89,12.62,66.33666666666666
RIAU,2023,total,93.25,96.11,18.65,69.33666666666667
RIAU,2023,urban,95.86,98.17,27.63,73.88666666666667
RIAU,2024,rural,92.12,97.15,11.5,66.92333333333333
RIAU,2024,total,94.16,97.75,17.98,69.96333333333332
RIAU,2024,urban,97.26,98.66,27.82,74.58
