province,year,area,prepared_food,cigarettes,raw_food,total_food,lifestyle_share
INDONESIA,2023,total,227581.0,91003.0,392698.0,711282.0,0.4479011137635987
INDONESIA,2024,total,238902.0,94476.0,418411.0,751789.0,0.44344623291907703
