city,group,sub_group,year,value
KOTA BALIKPAPAN,2020,"Makanan, Minuman dan Tembakau",2020,105.40916666666668
KOTA SAMARINDA,2020,"Makanan, Minuman dan Tembakau",2020,104.05666666666666
TANJUNG SELOR,2020,"Makanan, Minuman dan Tembakau",2020,98.67833333333334
KOTA TARAKAN,2020,"Makanan, Minuman dan Tembakau",2020,103.79166666666669
KOTA MANADO,2020,"Makanan, Minuman dan Tembakau",2020,105.19
KOTA KOTAMOBAGU,2020,"Makanan, Minuman dan Tembakau",2020,106.25
LUWUK,2020,"Makanan, Minuman dan Tembakau",2020,111.50166666666668
KOTA PALU,2020,"Makanan, Minuman dan Tembakau",2020,108.62166666666666
BULUKUMBA,2020,"Makanan, Minuman dan Tembakau",2020,102.34916666666668
WATAMPONE,2020,"Makanan, Minuman dan Tembakau",2020,102.81833333333334
KOTA MAKASSAR,2020,"Makanan, Minuman dan Tembakau",2020,107.6225
KOTA PARE-PARE,2020,"Makanan, Minuman dan Tembakau",2020,103.34333333333332
KOTA PALOPO,2020,"Makanan, Minuman dan Tembakau",2020,105.8075
KOTA KENDARI,2020,"Makanan, Minuman dan Tembakau",2020,105.9375
KOTA BUA-BAU,2020,"Makanan, Minuman dan Tembakau",2020,100.78333333333332
KOTA GORONTALO,2020,"Makanan, Minuman dan Tembakau",2020,103.84416666666668
MAMUJU,2020,"Makanan, Minuman dan Tembakau",2020,107.23416666666668
KOTA AMBON,2020,"Makanan, Minuman dan Tembakau",2020,106.05416666666666
KOTA TUAL,2020,"Makanan, Minuman dan Tembakau",2020,106.87
KOTA TERNATE,2020,"Makanan, Minuman dan Tembakau",2020,110.11583333333331
MANOKWARI,2020,"Makanan, Minuman dan Tembakau",2020,107.13416666666669
KOTA SORONG,2020,"Makanan, Minuman dan Tembakau",2020,103.43916666666668
MERAUKE,2020,"Makanan, Minuman dan Tembakau",2020,104.295
TIMIKA,2020,"Makanan, Minuman dan Tembakau",2020,111.38
KOTA JAYAPURA,2020,"Makanan, Minuman dan Tembakau",2020,104.47583333333334
INDONESIA,2020,"Makanan, Minuman dan Tembakau",2020,106.50583333333334
