province,internet_pct_rural,internet_pct_total,internet_pct_urban,mobile_pct_rural,mobile_pct_total,mobile_pct_urban,computer_pct_rural,computer_pct_total,computer_pct_urban,exp_food_total,exp_food_urban,exp_food_rural,exp_mamin_jadi_total,exp_rokok_total,exp_protein_total,exp_nonfood_total,exp_total_spend,engel_ratio_total,digital_lifestyle_index,poverty_rate_total,poverty_line_total,gini_total,inflation_food_rate,population_2024,Latitude,Longitude
NUSA TENGGARA BARAT,83.74,86.54,89.12,90.15,92.02,93.73,7.9,11.73,15.26,730071.0,769504.0,687084.0,222619.0,80526.0,124423.0,547068.0,1277139.0,0.5716456861782468,0.4152267382213511,11.91,539677.0,0.364,,5646.0,-8.5948553138209,117.57839644019
NUSA TENGGARA TIMUR,77.81,82.45,94.88,88.85,91.36,98.08,8.08,13.7,28.77,541265.0,622662.0,511882.0,110289.0,56454.0,100262.0,434589.0,975854.0,0.5546577664281747,0.3080616703463184,19.02,570263.0,0.316,,5656.0,-9.535486224309,122.06016739861
PAPUA,63.9,81.99,93.93,80.09,90.32,97.06,7.84,24.59,35.64,765393.0,817195.0,687620.0,173727.0,95626.0,189074.0,813501.0,1578894.0,0.4847652850666352,0.3519146373170384,18.09,690326.0,0.405,,4542.64,-4.0912830155479,137.65753146755
PAPUA BARAT,80.47,85.51,97.26,89.8,92.52,98.87,11.53,18.35,34.26,836642.0,895688.0,810306.0,167835.0,127427.0,180307.0,806846.0,1643488.0,0.5090648669171908,0.3529131934566995,21.09,849181.0,0.385,,1205.83,-1.8372378964609,132.28284465821
RIAU,92.12,94.16,97.26,97.15,97.75,98.66,11.5,17.98,27.82,824229.0,866655.0,795647.0,218279.0,122449.0,165674.0,738936.0,1563165.0,0.5272821487175058,0.41338996807925954,6.36,709953.5,0.306,,6728.1,0.89842758991219,101.91972988343
SULAWESI BARAT,88.64,89.67,93.89,94.32,94.95,97.53,10.48,13.98,28.37,579734.0,702404.0,548557.0,138686.0,88088.0,99807.0,529855.0,1109589.0,0.5224763403386299,0.39116905339345287,10.71,463206.0,0.33,,1503.2,-2.2084920575116,118.47246590413
SULAWESI SELATAN,88.59,92.18,96.23,95.42,96.67,98.07,13.71,22.13,31.61,636655.0,708734.0,571940.0,177873.0,82051.0,126918.0,646426.0,1283081.0,0.4961923682136981,0.4082650729201844,7.77,469375.0,0.36,,9463.4,-4.8270882079536,119.43934665323
SULAWESI TENGAH,84.59,87.94,94.62,91.66,93.4,96.87,9.52,16.28,29.76,644418.0,707373.0,613276.0,157513.0,96331.0,113664.0,587035.0,1231453.0,0.5232988997550049,0.3939120260452067,11.04,611879.5,0.309,,3121.8,-1.1327950239204,121.81423338247
SULAWESI TENGGARA,89.78,91.7,94.65,96.82,97.23,97.86,12.35,19.77,31.14,604047.0,674165.0,559437.0,159820.0,77331.0,117961.0,623116.0,1227163.0,0.4922304534931382,0.3926035556835809,10.63,477010.0,0.365,,2793.1,-4.495460756408,122.73848458035
SULAWESI UTARA,85.19,89.31,92.57,93.1,95.39,97.19,10.38,17.77,23.59,717919.0,767039.0,656869.0,200442.0,90091.0,142938.0,664510.0,1382429.0,0.5193170860854337,0.40468771546650806,6.7,510132.5,0.347,,2701.8,2.9290032454043,125.13740613014
SUMATERA BARAT,88.82,91.89,94.85,94.6,96.36,98.05,11.83,20.48,28.84,797728.0,852810.0,740543.0,238840.0,112394.0,133033.0,683125.0,1480853.0,0.5386949278557697,0.44029293192667174,5.42,714143.5,0.287,,5836.2,-1.5544416939782,100.24479865029
SUMATERA SELATAN,88.72,90.94,94.82,94.35,95.33,97.06,9.46,14.93,24.49,711510.0,768514.0,676603.0,184112.0,91223.0,137236.0,577490.0,1289001.0,0.5519856074587995,0.38697277620834564,10.51,572563.0,0.331,,8837.3,-3.2753964190087,104.12844764389
SUMATERA UTARA,89.05,92.3,94.77,95.32,96.48,97.35,8.43,15.35,20.6,734270.0,765288.0,692728.0,192090.0,99929.0,154255.0,606687.0,1340957.0,0.5475716223562724,0.3976997562204639,7.19,644436.0,0.306,,15588.5,1.8313656694909,98.742431763566
