Kabupaten/Kota,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Rokok dan Tembakau Per Kabupaten/kota (Satuan Komoditas),,,,,
,ROKOK DAN TEMBAKAU,Rokok kretek filter,Rokok kretek tanpa filter,Rokok putih,Tembakau,Rokok dan tembakau Lainnya
Lahat,0,15.481,9.73,0.674,0.008,0.004
Musi Rawas,0,6.641,12.891,0.411,0.057,0.012
Musi Banyuasin,0,17.823,3.824,0.455,0,0.059
Banyu Asin,0,16.917,4.472,0.554,0.006,0.003
Ogan Komering Ulu Selatan,0,16.476,10.731,0.357,0.039,0.182
Ogan Komering Ulu Timur,0,15.631,3.112,1.572,0.101,0.889
Ogan Ilir,0,17.686,5.423,-,0.01,0
Empat Lawang,0,10.327,14.54,0.119,0.013,0.02
Penukal Abab Lematang Ilir,0,12.668,5.824,0.914,0.019,0.195
Musi Rawas Utara,0,12.921,6.523,0.336,0.003,0.289
Kota Palembang,0,9.957,1.943,0.237,0.003,0.181
Kota Prabumulih,0,11.285,2.39,1.021,0.002,0.038
Kota Pagar Alam,0,10.01,12.802,0.193,0.001,0.041
Kota Lubuklinggau,0,7.142,8.109,0.399,0.007,0.078
Bengkulu Selatan,0,11.015,10.892,1.517,0.014,0.004
Rejang Lebong,0,11.187,11.573,0.34,0.01,0.006
Bengkulu Utara,0,20.695,4.95,0.041,0.017,-
Kaur,0,17.797,10.217,0.107,0.023,0.006
Seluma,0,17.884,9.159,1.71,0.003,0.001
Mukomuko,0,24.311,3.155,1.369,0.004,0.007
Lebong,0,24.574,7.878,0.144,0.007,0.012
Kepahiang,0,11.856,12.093,0.371,0.056,0.004
Bengkulu Tengah,0,15.234,6.196,0.273,0.006,0.004
Kota Bengkulu,0,15.888,2.547,0.656,0,0.121
Lampung Barat,0,13.766,8.461,0.353,0.065,0.044
Tanggamus,0,13.677,10.208,0.617,0.044,0.088
Lampung Selatan,0,13.683,5.498,0.721,0.03,0.019
Lampung Timur,0,16.5,4.158,0.176,0.052,0.019
Lampung Tengah,0,15.945,4.416,0.106,0.047,0.136
Lampung Utara,0,12.121,7.072,0.385,0.036,0.046
Way Kanan,0,13.198,7.754,1.001,0.048,0.032
Tulangbawang,0,17.287,6.013,0.612,0.031,0.013
Pesawaran,0,15.808,8.122,0.275,0.047,0.102
Pringsewu,0,16.279,4.929,0.309,0.066,0.143
Mesuji,0,17.191,6.203,0.947,0.075,0.115
Tulang Bawang Barat,0,20.585,4.213,0.378,0.028,0.082
Pesisir Barat,0,21.441,6.842,0.095,0.027,0.126
Kota Bandar Lampung,0,13.019,1.59,0.5,0.001,0.002
Kota Metro,0,16.464,2.385,0.091,0.014,0.033
Bangka,0,17.052,4.449,0.108,0.004,0.001
Belitung,0,15.579,2.118,1.172,0.011,0.051
Bangka Barat,0,22.114,4.265,0.984,0.005,0.001
Bangka Tengah,0,20.518,2.334,0.92,0.001,0.133
Bangka Selatan,0,20.612,3.688,1.679,-,0.005
Belitung Timur,0,21.103,3.25,1.931,0.003,0
Kota Pangkal Pinang,0,12.646,0.334,0.983,0.007,0.003
Karimun,0,18.287,1.567,3.34,0.01,0.023
Bintan,0,16.285,1.28,1.569,0.002,0.075
Natuna,0,22.54,0.796,3.322,0,0.001
Lingga,0,20.437,1.762,1.727,0.015,0.006
Kepulauan Anambas,0,31.235,0.456,0.688,0.011,0.05
Kota Batam,0,14.567,1.424,1.535,0.008,0.006
Kota Tanjung Pinang,0,14.817,0.629,1.816,0.004,0.043
Kepulauan Seribu,0,18.827,0.316,0.134,-,0.361
Kota Jakarta Selatan,0,5.767,1.188,1.671,0.001,0.022
Kota Jakarta Timur,0,7.954,0.858,0.964,0.002,0.012
Kota Jakarta Pusat,0,9.326,1.053,0.922,0.002,0.002
Kota Jakarta Barat,0,9.727,1.349,0.803,-,0.046
Kota Jakarta Utara,0,10.115,1.356,0.794,0.001,0.005
Bogor,0,13.068,4.617,1.155,0.002,0.044
Sukabumi,0,10.956,7.864,0.451,0.021,0.019
Cianjur,0,13.652,7.109,0.379,0.037,0.008
Bandung,0,9.097,6.498,0.792,0.007,0.01
Garut,0,6.366,9.558,0.813,0.073,0.076
Tasikmalaya,0,7.269,9.065,0.958,0.044,0.014
Ciamis,0,7.347,10.924,0.57,0.025,0.064
Kuningan,0,13.116,6.027,0.521,0.005,0.075
Cirebon,0,11.136,4.305,0.111,0.004,0.039
Majalengka,0,11.059,6.282,0.82,0.007,0.003
Sumedang,0,8.353,9.57,0.485,0.051,0.075
Indramayu,0,14.806,5.981,0.053,0,0.001
Subang,0,16.066,6.441,1.146,0.006,-
Purwakarta,0,11.975,5.94,0.643,0.008,0.006
Karawang,0,14.447,5.828,0.105,0.001,0.002
Bekasi,0,11.952,2.425,1.046,0,0.017
Bandung Barat,0,9.777,6.876,0.744,0.013,0.017
Pangandaran,0,5.84,9.88,0.979,0.095,0.117
Kota Bogor,0,10.719,1.822,1.997,0.009,0.052
Kota Sukabumi,0,8.87,4.158,1.147,0.006,0.09
Kota Bandung,0,11.868,2.946,0.69,0,0.148
Kota Cirebon,0,10.978,1.108,-,0.001,0.001
Kota Bekasi,0,11.555,0.682,0.714,0.001,0.147
Kota Depok,0,9.32,2.193,1.571,0.002,0.126
Kota Cimahi,0,8.103,2.213,0.846,0.021,0.094
Kota Tasikmalaya,0,7.396,7.319,0.497,0.004,0.013
Kota Banjar,0,9.207,7.108,0.33,0.003,0.006
Cilacap,0,8.896,5.871,0.397,0.058,0.116
Banyumas,0,7.531,7.062,0.097,0.035,0.148
Purbalingga,0,7.138,7.336,0.326,0.064,0.072
Banjarnegara,0,6.275,6.291,0.383,0.12,0.116
Kebumen,0,5.579,4.999,0.181,0.081,0.1
Purworejo,0,5.413,6.249,0.537,0.033,0.068
Wonosobo,0,5.999,2.983,0.331,0.167,0.414
Magelang,0,9.046,2.06,0.341,0.135,0.335
Boyolali,0,10.333,2.874,0.403,0.061,0.177
Klaten,0,10.43,1.891,0.031,0.021,0.19
Sukoharjo,0,9.215,1.848,0.134,0.01,0.126
Wonogiri,0,7.986,4.924,0.57,0.024,0.007
Karanganyar,0,9.021,1.076,0.672,0.011,0.033
Sragen,0,13.469,1.791,0.289,0.006,0.033
Grobogan,0,14.117,1.559,0.778,0.038,0.008
Blora,0,16.582,1.834,0.444,0.027,0.043
Rembang,0,14.774,0.851,0.247,0.031,0.112
Pati,0,13.802,1.048,0.772,0.002,0.029
Kudus,0,12.465,1.152,0.098,0.003,0.021
Jepara,0,14.259,0.697,0.291,0.001,0.032
Demak,0,13.695,1.372,0.139,0.018,0.002
Semarang,0,9.815,3.255,0.182,0.046,0.076
Temanggung,0,3.719,0.694,0.065,0.243,0.758
Kendal,0,10.148,1.692,0.213,0.077,0.277
Batang,0,10.022,3.407,0.381,0.055,0.071
Pekalongan,0,9.975,4.177,0.259,0.014,0.07
Pemalang,0,9.148,7.538,0.277,0.014,0.013
Tegal,0,9.778,4.843,0.041,0.002,0.002
Brebes,0,10.764,7.286,0.102,0.022,0.007
Kota Magelang,0,8.858,1.22,0.185,0.025,0.38
Kota Surakarta,0,7.186,1.484,0.272,0.005,0.027
Kota Salatiga,0,9.25,1.978,0.528,0.027,0.168
Kota Semarang,0,9.507,1.122,0.169,0.006,0.271
Kota Pekalongan,0,8.725,2.849,0.062,0.006,0.019
Kota Tegal,0,8.021,3.625,0.101,0.001,0.001
Kulon Progo,0,6.656,3.248,0.447,0.049,0.179
Bantul,0,9.798,1.132,0.307,0.011,0.143
Gunung Kidul,0,6.522,3.626,0.527,0.059,0.086
Sleman,0,9.278,1.873,0.843,0.011,0.105
Kota Yogyakarta,0,7.762,0.885,0.24,0.009,0.265
Pacitan,0,2.555,6.035,0.177,0.127,0.049
Ponorogo,0,6.821,4.784,0.404,0.072,0.202
Trenggalek,0,4.307,6.344,0.094,0.051,0.105
Tulungagung,0,6.112,5.053,0.312,0.045,0.047
Blitar,0,8.847,2.824,0.27,0.051,0.082
Kediri,0,9.722,4.239,0.082,0.024,0.049
Malang,0,14.837,4.366,0.101,0.013,0.012
Lumajang,0,6.074,1.777,0.03,0.535,0.308
Jember,0,9.314,3.186,0.29,0.094,0.373
Banyuwangi,0,12.88,3.121,0.088,0.057,0.218
Bondowoso,0,12.508,3.56,0.124,0.131,0.245
Situbondo,0,11.436,5.462,0.044,0.138,0.291
Probolinggo,0,8.177,2.891,0.001,0.349,0.322
Pasuruan,0,14.244,2.048,0.011,0.024,0.046
Sidoarjo,0,11.998,0.511,0.273,0.005,0.018
Mojokerto,0,13.082,2.025,0.027,0.01,0.002
Jombang,0,14.082,2.156,0.013,0.022,0.009
Nganjuk,0,12.692,4.232,0.001,0.029,0.034
Madiun,0,10.02,4.715,0.055,0.039,0.054
Magetan,0,11.072,2.411,0.244,0.009,0.073
Ngawi,0,10.745,2.37,0.066,0.036,0.025
Bojonegoro,0,13.262,3.231,0.131,0.05,0.065
Tuban,0,13.209,2.291,0.104,0.052,0.043
Lamongan,0,12.782,3.009,0.161,0.016,0.003
Gresik,0,12.042,2.083,0.184,0.009,0
Bangkalan,0,15.521,4.057,-,-,0.061
Sampang,0,21.128,2.661,0.273,0.005,0.039
Pamekasan,0,23.183,0.777,0.001,0.002,-
Sumenep,0,23.608,2.997,0.336,0.015,0.009
Kota Kediri,0,7.895,2.502,0.007,0.009,0.019
Kota Blitar,0,9.238,2.905,0.053,0.028,0.012
Kota Malang,0,7.827,1.086,0.377,0.002,0.046
Kota Probolinggo,0,5.978,2.35,0.072,0.121,0.114
Kota Pasuruan,0,12.343,0.821,0.117,0.003,0.023
