Kabupaten/Kota,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Rokok dan Tembakau Per Kabupaten/kota (Satuan Komoditas),,,,,
,ROKOK DAN TEMBAKAU,Rokok kretek filter,Rokok kretek tanpa filter,Rokok putih,Tembakau,Rokok dan tembakau Lainnya
Polewali Mandar,0,20.733,0.402,0.033,0.012,0.101
Mamasa,0,17.577,1.955,1.087,0.004,-
Mamuju,0,22.066,1.036,0.322,0.003,0.005
Mamuju Utara,0,24.517,1.853,1.101,0.001,0.001
Mamuju Tengah,0,20.146,1.811,0.615,0.02,0.007
Maluku Tenggara Barat,0,4.284,0.141,0.415,0.107,0.049
Maluku Tenggara,0,5.832,0.848,0.483,0.032,0.031
Maluku Tengah,0,8.22,1.148,0.179,0.08,0.126
Buru,0,12.295,0.687,0.336,0.028,0.014
Kepulauan Aru,0,4.351,0.11,0.042,0.197,0.097
Seram Bagian Barat,0,6.107,0.424,0.078,0.055,0.009
Seram Bagian Timur,0,4.274,1.284,0.82,0.128,1.509
Maluku Barat Daya,0,2.576,0.181,0.959,0.062,0.045
Buru Selatan,0,4.312,0.274,0.286,0.334,0.823
Kota Ambon,0,8.25,0.283,0.564,0.004,0.026
Kota Tual,0,5.176,1.705,0.227,0.054,0.008
Halmahera Barat,0,10.11,0.662,0.597,0.037,0.029
Halmahera Tengah,0,18.705,0.48,0.669,0.04,0.122
Kepulauan Sula,0,5.709,0.44,0.24,0.119,0.009
Halmahera Selatan,0,10.515,0.999,0.029,0.178,0.106
Halmahera Utara,0,8.238,0.292,1.032,0.065,0.013
Halmahera Timur,0,14.183,1.99,1.162,0.091,0.164
Pulau Morotai,0,7.248,0.511,0.229,0.184,0.014
Pulau Taliabu,0,10.914,0.736,1.977,0.104,0.013
Kota Ternate,0,17.156,0.75,0.28,-,0.068
Kota Tidore Kepulauan,0,15.366,2.017,0.134,0.015,0.054
Fakfak,0,14.885,0.634,0.782,0.029,0.232
Kaimana,0,8.07,0.733,0.611,0.073,0.354
Teluk Wondama,0,8.4,0.125,0.025,0.052,1.792
Teluk Bintuni,0,14.271,0.286,0.132,0.044,0.381
Manokwari,0,10.637,0.644,0.664,0.027,0.268
Manokwari Selatan,0,11.339,0.163,1.638,0.004,0.797
Pegunungan Arfak,0,2.565,0.147,0.353,0.031,0.094
Raja Ampat,0,11.543,0.094,0.43,0.085,0.849
Sorong,0,12.226,1.597,0.383,0.016,0.25
Sorong Selatan,0,6.161,0.009,0.009,0.086,0.447
Maybrat,0,7.649,0.408,0.089,0.011,0.311
Tambrauw,0,10.053,0.24,0.222,0.013,0.783
Kota Sorong,0,9.041,0.135,0.766,0.01,0.081
Jayapura,0,7.478,0.75,1.884,0.038,0.512
Kepulauan Yapen,0,6.6,0.879,1.457,0.103,0.312
Biak Numfor,0,5.745,0.176,0.433,0.054,6.432
Sarmi,0,11.118,0.651,2.127,0,0.911
Keerom,0,17.352,1.557,1.569,0.081,0.433
Waropen,0,5.237,0.099,0.445,0.085,0.774
Supiori,0,2.777,0.787,0.371,0.104,0.727
Mamberamo Raya,0,8.006,-,-,0.043,1.47
Kota Jayapura,0,7.207,0.329,1.457,0.016,0.199
Merauke,0,9.441,0.292,1.031,0.097,0.194
Boven Digoel,0,10.192,1.476,2.067,0.294,0.744
Mappi,0,4.421,0.343,1.409,0.224,0.117
Asmat,0,7.666,0.027,0.15,0.093,0.105
Mimika,0,11.836,1.081,1.148,-,0.011
Dogiyai,0,1.942,0.032,1.194,0.089,0.003
Deiyai,0,1.056,0.255,0.427,-,-
Nabire,0,9.244,0.587,2.069,0.002,0.231
Paniai,0,1.144,0.647,0.254,-,-
Intan Jaya,0,1.385,0.751,0.192,-,0.515
Puncak,0,5.913,-,-,-,-
Puncak Jaya,0,7.976,3.902,0.061,0.012,0.525
Nduga,0,0.303,2.494,0.039,0.081,0.083
Jayawijaya,0,5.142,0.934,0.033,0.001,0.233
Lanny Jaya,0,15.253,0.158,-,0.003,0.376
Tolikara,0,1.629,0.164,0.455,0.001,0.02
Mamberamo Tengah,0,2.447,0.743,-,0.023,0.359
Yalimo,0,7.239,0.524,0.714,0.037,0.09
Yahukimo,0,0.232,-,-,0.031,0.031
Pegunungan Bintang,0,3.236,-,-,0.011,0.353
