province,year,group,sub_group,value
BALI,2023,2023,Penyediaan Makanan dan Minuman / Restoran,117.83416666666668
BALI,2023,2023,Peralatan Informasi dan Komunikasi,111.57333333333334
BALI,2023,2023,Rokok dan Tembakau,141.53416666666666
BANTEN,2018,2020,Asuransi,103.11500000000001
BANTEN,2018,2020,"Informasi, Komunikasi dan Jasa Keuangan",96.82749999999999
BANTEN,2018,2020,Jasa Keuangan,100.0
BANTEN,2018,2020,Layanan Informasi dan Komunikasi,101.14277777777778
BANTEN,2018,2020,Peralatan Informasi dan Komunikasi,82.13777777777777
BANTEN,2018,2021,Asuransi,103.19
BANTEN,2018,2021,"Informasi, Komunikasi dan Jasa Keuangan",96.69749999999999
BANTEN,2018,2021,Jasa Keuangan,99.94222222222221
BANTEN,2018,2021,Layanan Informasi dan Komunikasi,101.31666666666666
BANTEN,2018,2021,Peralatan Informasi dan Komunikasi,80.72638888888889
BANTEN,2018,2022,Asuransi,103.19
BANTEN,2018,2022,"Informasi, Komunikasi dan Jasa Keuangan",96.4786111111111
BANTEN,2018,2022,Jasa Keuangan,97.41999999999996
BANTEN,2018,2022,Layanan Informasi dan Komunikasi,101.34666666666668
BANTEN,2018,2022,Peralatan Informasi dan Komunikasi,80.3111111111111
BANTEN,2020,2020,Jasa Pelayanan Makanan dan Minuman,105.71138888888889
BANTEN,2020,2020,Makanan,105.59361111111112
BANTEN,2020,2020,"Makanan, Minuman dan Tembakau",106.67999999999999
BANTEN,2020,2020,Minuman yang Tidak Beralkohol,107.44166666666668
BANTEN,2020,2020,Penyediaan Makanan dan Minuman / Restoran,105.71138888888889
BANTEN,2020,2020,Rokok dan Tembakau,112.00333333333333
BANTEN,2021,2021,Jasa Pelayanan Makanan dan Minuman,108.1388888888889
BANTEN,2021,2021,Makanan,108.11527777777779
BANTEN,2021,2021,"Makanan, Minuman dan Tembakau",109.32638888888887
BANTEN,2021,2021,Minuman yang Tidak Beralkohol,108.51527777777778
