province,commodity,area,value
Papua Tengah,Perumahan dan fasilitas rumah tangga,rural,329249.0
Papua Tengah,Aneka barang dan jasa,rural,72971.0
Papua Tengah,Pakaian alas kaki dan tutup kepala,rural,15342.0
Papua Tengah,Barang tahan lama,rural,18705.0
Papua Tengah,Pajak pungutan dan asuransi,rural,20118.0
Papua Tengah,Keperluan pesta,rural,582.0
Papua Tengah,Jumlah bukan makanan/Total non-food,rural,462205.0
Papua Tengah,Jumlah/Total,rural,1330221.0
Papua Tengah,Padi-padian/Cereals,total,84846.0
Papua Tengah,Umbi-umbian/Tubers,total,78501.0
Papua Tengah,Ikan/udang/cumi/kerang,total,68154.0
Papua Tengah,Daging/Meat,total,10497.0
Papua Tengah,Telur dan susu/Eggs and milk,total,38572.0
Papua Tengah,Sayur-sayuran/Vegetables,total,15348.0
Papua Tengah,Kacang-kacangan/Legumes,total,14204.0
Papua Tengah,Buah-buahan/Fruits,total,34781.0
Papua Tengah,Minyak dan kelapa/Oil and coconut,total,43995.0
Papua Tengah,Bahan minuman/Beverages stuffs,total,34794.0
Papua Tengah,Bumbu-bumbuan/Spices,total,23369.0
Papua Tengah,Konsumsi lainnya,total,20821.0
Papua Tengah,Makanan dan minuman jadi,total,105254.0
Papua Tengah,Rokok/Cigarettes,total,81098.0
Papua Tengah,Jumlah makanan/Total food,total,887039.0
Papua Tengah,Perumahan dan fasilitas rumah tangga,total,411483.0
Papua Tengah,Aneka barang dan jasa,total,116654.0
Papua Tengah,Pakaian alas kaki dan tutup kepala,total,19995.0
Papua Tengah,Barang tahan lama,total,21272.0
Papua Tengah,Pajak pungutan dan asuransi,total,25079.0
Papua Tengah,Keperluan pesta,total,6165.0
Papua Tengah,Jumlah bukan makanan/Total non-food,total,600649.0
Papua Tengah,Jumlah/Total,total,1487688.0
Papua barat daya,Padi-padian/Cereals,urban,91561.0
Papua barat daya,Umbi-umbian/Tubers,urban,13611.0
Papua barat daya,Ikan/udang/cumi/kerang,urban,97677.0
Papua barat daya,Daging/Meat,urban,30845.0
Papua barat daya,Telur dan susu/Eggs and milk,urban,51164.0
Papua barat daya,Sayur-sayuran/Vegetables,urban,86104.0
Papua barat daya,Kacang-kacangan/Legumes,urban,14117.0
Papua barat daya,Buah-buahan/Fruits,urban,34657.0
Papua barat daya,Minyak dan kelapa/Oil and coconut,urban,2163.0
Papua barat daya,Bahan minuman/Beverages stuffs,urban,21026.0
Papua barat daya,Bumbu-bumbuan/Spices,urban,23678.0
Papua barat daya,Konsumsi lainnya,urban,13124.0
Papua barat daya,Makanan dan minuman jadi,urban,237997.0
Papua barat daya,Rokok/Cigarettes,urban,83946.0
Papua barat daya,Jumlah makanan/Total food,urban,821139.0
Papua barat daya,Perumahan dan fasilitas rumah tangga,urban,576342.0
Papua barat daya,Aneka barang dan jasa,urban,210122.0
Papua barat daya,Pakaian alas kaki dan tutup kepala,urban,29382.0
Papua barat daya,Barang tahan lama,urban,38515.0
Papua barat daya,Pajak pungutan dan asuransi,urban,58007.0
Papua barat daya,Keperluan pesta,urban,18145.0
Papua barat daya,Jumlah bukan makanan/Total non-food,urban,930515.0
Papua barat daya,Jumlah/Total,urban,1751654.0
Papua barat daya,Padi-padian/Cereals,rural,81987.0
Papua barat daya,Umbi-umbian/Tubers,rural,40306.0
Papua barat daya,Ikan/udang/cumi/kerang,rural,97262.0
Papua barat daya,Daging/Meat,rural,43203.0
Papua barat daya,Telur dan susu/Eggs and milk,rural,31804.0
Papua barat daya,Sayur-sayuran/Vegetables,rural,77568.0
Papua barat daya,Kacang-kacangan/Legumes,rural,1235.0
Papua barat daya,Buah-buahan/Fruits,rural,40584.0
Papua barat daya,Minyak dan kelapa/Oil and coconut,rural,23982.0
Papua barat daya,Bahan minuman/Beverages stuffs,rural,26514.0
